Temp,DO,NH4,NO2,ABW,DOC,ABW.1,ADG
27.6,7.19,2.2,0.07,1.404,28,1.404,0.078
27.6,6.24,1.5,0.07,1.482,29,1.482,0.078
27.4,5.42,1.7,0.05,1.56,30,1.56,0.078
27.3,4.46,2.5,0.1,1.85,31,1.85,0.29
27.3,5.11,2.7,0.07,2.14,32,2.14,0.29
27.4,6.43,2.7,0.07,2.43,33,2.43,0.29
27.4,5.74,2.3,0.1,2.72,34,2.72,0.29
27.7,5.41,2.5,0.13,3.01,35,3.01,0.29
27.5,6.75,2.1,0.15,3.222,36,3.222,0.212
27.4,6.53,1.9,0.13,3.434,37,3.434,0.212
27.8,5.87,2.4,0.15,3.646,38,3.646,0.212
27.6,5.58,2.5,0.15,3.858,39,3.858,0.212
27.1,5.85,2.5,0.2,4.07,40,4.07,0.212
27.1,4.72,3.0,0.22,4.242,41,4.242,0.172
27.4,3.74,4.0,0.25,4.414,42,4.414,0.172
26.6,4.63,5.0,0.3,4.586,43,4.586,0.172
27.1,3.99,5.5,0.35,4.758,44,4.758,0.172
27.0,4.63,7.0,0.4,4.93,45,4.93,0.172
27.3,5.14,6.0,0.4,5.124,46,5.124,0.194
27.3,5.29,7.0,0.45,5.318,47,5.318,0.194
27.4,4.78,8.0,0.45,5.512,48,5.512,0.194
27.1,4.43,9.0,0.5,5.706,49,5.706,0.194
27.7,5.01,10.0,0.45,5.9,50,5.9,0.194
27.5,5.65,10.0,0.5,6.065,51,6.065,0.165
27.6,4.65,11.5,0.6,6.23,52,6.23,0.165
27.6,5.07,14.0,0.75,6.395,53,6.395,0.165
27.9,5.22,14.0,0.85,6.56,54,6.56,0.165
28.0,5.04,16.0,0.8,6.832,55,6.832,0.272
27.9,5.49,15.0,1.0,7.104,56,7.104,0.272
27.9,4.95,14.0,1.6,7.376,57,7.376,0.272
27.4,5.54,11.0,3.0,7.648,58,7.648,0.272
27.6,5.03,10.0,3.0,7.92,59,7.92,0.272
27.5,5.19,9.0,3.5,8.14,60,8.14,0.22
26.6,5.73,11.0,3.5,8.36,61,8.36,0.22
26.2,4.81,12.0,3.7,8.58,62,8.58,0.22
26.2,6.04,14.0,3.9,8.8,63,8.8,0.22
26.1,5.11,10.0,3.7,9.02,64,9.02,0.22
26.4,5.68,10.0,3.8,9.216666667,65,9.216666667,0.196666667
25.7,5.71,9.0,3.9,9.413333333,66,9.413333333,0.196666667
26.1,5.88,10.0,3.8,9.61,67,9.61,0.196666667
26.5,5.97,9.0,3.8,9.806666667,68,9.806666667,0.196666667
26.7,5.57,9.0,3.7,10.00333333,69,10.00333333,0.196666667
26.6,5.85,7.0,3.9,10.2,70,10.2,0.196666667
27.2,5.89,9.0,4.1,10.432,71,10.432,0.232
27.2,5.66,8.0,4.1,10.664,72,10.664,0.232
27.3,5.54,7.0,4.3,10.896,73,10.896,0.232
27.4,5.71,9.0,4.5,11.128,74,11.128,0.232
27.4,6.02,9.0,4.4,11.36,75,11.36,0.232
27.5,6.13,8.0,4.5,11.652,76,11.652,0.292
27.9,6.09,9.0,4.7,11.944,77,11.944,0.292
28.1,4.23,10.0,4.8,12.236,78,12.236,0.292
27.5,5.67,9.0,4.8,12.528,79,12.528,0.292
28.0,5.18,10.0,5.0,12.82,80,12.82,
29.0,5.87,0.2,0.03,0.001,0,0.001,
28.9,5.98,0.30000000000000004,,0.023052632,1,0.023052632,0.022052632
27.9,6.25,0.4,0.04,0.045105263,2,0.045105263,0.022052632
27.6,6.996666666666667,0.30000000000000004,,0.067157895,3,0.067157895,0.022052632
27.9,7.743333333333333,0.2,0.03,0.089210526,4,0.089210526,0.022052632
28.2,8.49,0.2,,0.111263158,5,0.111263158,0.022052632
27.8,7.69,0.2,0.04,0.133315789,6,0.133315789,0.022052632
28.1,8.81,0.2,,0.155368421,7,0.155368421,0.022052632
28.7,8.98,0.2,0.15,0.177421053,8,0.177421053,0.022052632
29.0,8.02,0.25,,0.199473684,9,0.199473684,0.022052632
29.2,7.81,0.3,0.22,0.221526316,10,0.221526316,0.022052632
29.8,8.01,0.3,,0.243578947,11,0.243578947,0.022052632
30.2,9.76,0.3,0.18,0.265631579,12,0.265631579,0.022052632
29.9,9.2,0.25,,0.287684211,13,0.287684211,0.022052632
29.3,8.88,0.2,0.1,0.309736842,14,0.309736842,0.022052632
29.5,8.46,0.25,,0.331789474,15,0.331789474,0.022052632
29.3,8.07,0.3,0.13,0.353842105,16,0.353842105,0.022052632
29.0,9.59,0.35,,0.375894737,17,0.375894737,0.022052632
29.2,8.55,0.4,0.13,0.397947368,18,0.397947368,
